Name,Branch,Date,Amount,Category
Dylan Berry,Liverpool,10/07/2016,61.04,Online expenses
Dylan Berry,Liverpool,14/07/2016,57.63,Office equipment
Dylan Berry,Liverpool,20/07/2016,388.76,Vehicle fuel
Dylan Berry,Liverpool,24/07/2016,72.28,Meals
Dylan Berry,Liverpool,05/08/2016,8,Vehicle mileage
Dylan Berry,Liverpool,12/08/2016,501.04,Vehicle fuel
Dylan Berry,Liverpool,13/08/2016,37.82,Online expenses
Dylan Berry,Liverpool,26/08/2016,72.06,Miscellaneous
Dylan Berry,Liverpool,28/08/2016,10.84,Office equipment
Dylan Berry,Liverpool,31/08/2016,245.56,Accommodation
Dylan Berry,Liverpool,01/09/2016,76.96,Postage
Dylan Berry,Liverpool,11/09/2016,468.67,Public transport
Dylan Berry,Liverpool,23/09/2016,19.41,Bank charges
Dylan Berry,Liverpool,25/09/2016,236.71,Vehicle fuel
Dylan Berry,Liverpool,28/09/2016,75.29,Postage
