Name,Branch,Date,Amount,Category
George Gibson,Glasgow,04/07/2016,11.19,Computer equipment
George Gibson,Glasgow,09/07/2016,110.54,Vehicle maintenance
George Gibson,Glasgow,12/07/2016,137.48,Public transport
George Gibson,Glasgow,19/07/2016,274,Computer equipment
George Gibson,Glasgow,29/07/2016,322.3,Entertaining
George Gibson,Glasgow,06/08/2016,18.04,Vehicle maintenance
George Gibson,Glasgow,07/08/2016,544.23,Travel
George Gibson,Glasgow,09/08/2016,64.43,Stationery
George Gibson,Glasgow,17/08/2016,26.36,Stationery
George Gibson,Glasgow,29/08/2016,445.44,Travel
George Gibson,Glasgow,02/09/2016,113.33,Phone
George Gibson,Glasgow,04/09/2016,22.94,Postage
George Gibson,Glasgow,11/09/2016,13.99,Vehicle fuel
George Gibson,Glasgow,17/09/2016,554.27,Public transport
