Name,Branch,Date,Amount,Category
Jamie Brown,London,16/07/2016,68.65,Accommodation
Jamie Brown,London,30/07/2016,3.24,Bank charges
Jamie Brown,London,08/08/2016,20.29,Entertaining
Jamie Brown,London,09/08/2016,28.51,Vehicle mileage
Jamie Brown,London,10/08/2016,537.9,Public transport
Jamie Brown,London,27/08/2016,294.71,Accommodation
Jamie Brown,London,03/09/2016,380.35,Accommodation
Jamie Brown,London,09/09/2016,38.1,Stationery
Jamie Brown,London,17/09/2016,77.74,Vehicle mileage
Jamie Brown,London,17/09/2016,28.52,Research
Jamie Brown,London,25/09/2016,183.94,Public transport
Jamie Brown,London,26/09/2016,104.74,Meals
