Name,Branch,Date,Amount,Category
Mollie Wood,Birmingham,09/07/2016,74.69,Stationery
Mollie Wood,Birmingham,16/07/2016,283.93,Entertaining
Mollie Wood,Birmingham,29/07/2016,64.7,Phone
Mollie Wood,Birmingham,03/08/2016,128.13,Office equipment
Mollie Wood,Birmingham,07/08/2016,166.16,Entertaining
Mollie Wood,Birmingham,09/08/2016,118.69,Online expenses
Mollie Wood,Birmingham,14/08/2016,42.55,Phone
Mollie Wood,Birmingham,25/08/2016,78.51,Stationery
Mollie Wood,Birmingham,27/08/2016,62.06,Bank charges
Mollie Wood,Birmingham,03/09/2016,146.75,Miscellaneous
Mollie Wood,Birmingham,05/09/2016,306.16,Accommodation
Mollie Wood,Birmingham,09/09/2016,141.18,Online expenses
Mollie Wood,Birmingham,21/09/2016,370.62,Vehicle fuel
