Name,Branch,Date,Amount,Category
Reuben Shah,Leeds,16/07/2016,332.53,Entertaining
Reuben Shah,Leeds,25/07/2016,215.59,Accommodation
Reuben Shah,Leeds,29/07/2016,487.14,Public transport
Reuben Shah,Leeds,23/08/2016,402.37,Accommodation
Reuben Shah,Leeds,24/08/2016,511.79,Computer equipment
Reuben Shah,Leeds,29/08/2016,142.56,Vehicle mileage
Reuben Shah,Leeds,05/09/2016,202.89,Public transport
Reuben Shah,Leeds,06/09/2016,182.14,Miscellaneous
Reuben Shah,Leeds,17/09/2016,51.88,Office equipment
Reuben Shah,Leeds,21/09/2016,525.96,Accommodation
Reuben Shah,Leeds,24/09/2016,20.17,Office equipment
