Name,Branch,Date,Amount,Category
Rhys Poole,Belfast,24/07/2016,107.75,Stationery
Rhys Poole,Belfast,24/07/2016,9.72,Office equipment
Rhys Poole,Belfast,31/07/2016,90.97,Online expenses
Rhys Poole,Belfast,03/08/2016,109.03,Vehicle fuel
Rhys Poole,Belfast,05/08/2016,71.74,Online expenses
Rhys Poole,Belfast,18/08/2016,472.18,Computer equipment
Rhys Poole,Belfast,01/09/2016,20.17,Research
Rhys Poole,Belfast,03/09/2016,286.53,Travel
Rhys Poole,Belfast,05/09/2016,122.57,Meals
Rhys Poole,Belfast,08/09/2016,80.3,Computer equipment
Rhys Poole,Belfast,19/09/2016,52.98,Meals
Rhys Poole,Belfast,20/09/2016,119.44,Accommodation
Rhys Poole,Belfast,21/09/2016,130.77,Phone
