Name,Branch,Date,Amount,Category
Eva Smith,London,12/07/2016,5.76,Phone
Eva Smith,London,29/07/2016,428.48,Vehicle fuel
Eva Smith,London,31/07/2016,532.94,Miscellaneous
Eva Smith,London,01/08/2016,411.96,Vehicle fuel
Eva Smith,London,06/08/2016,511.35,Public transport
Eva Smith,London,09/08/2016,179.78,Miscellaneous
Eva Smith,London,21/08/2016,65.76,Bank charges
Eva Smith,London,26/08/2016,5.15,Entertaining
Eva Smith,London,09/09/2016,249.7,Public transport
Eva Smith,London,14/09/2016,120.31,Stationery
