Name,Branch,Date,Amount,Category
Gabriel Singh,Leeds,07/07/2016,151.89,Research
Gabriel Singh,Leeds,20/07/2016,77.48,Online expenses
Gabriel Singh,Leeds,21/07/2016,462.74,Public transport
Gabriel Singh,Leeds,25/07/2016,112.97,Stationery
Gabriel Singh,Leeds,03/08/2016,47.17,Computer equipment
Gabriel Singh,Leeds,09/08/2016,154.01,Research
Gabriel Singh,Leeds,10/08/2016,91.83,Online expenses
Gabriel Singh,Leeds,13/08/2016,39.72,Research
Gabriel Singh,Leeds,20/08/2016,136.94,Bank charges
Gabriel Singh,Leeds,22/08/2016,179.53,Miscellaneous
Gabriel Singh,Leeds,28/08/2016,49.48,Online expenses
Gabriel Singh,Leeds,31/08/2016,74.9,Miscellaneous
Gabriel Singh,Leeds,07/09/2016,231.87,Miscellaneous
Gabriel Singh,Leeds,24/09/2016,549.54,Public transport
