Name,Branch,Date,Amount,Category
Grace Brown,Southampton,01/07/2016,309.66,Public transport
Grace Brown,Southampton,04/07/2016,74.03,Vehicle fuel
Grace Brown,Southampton,12/07/2016,3.42,Research
Grace Brown,Southampton,12/07/2016,395.81,Public transport
Grace Brown,Southampton,15/07/2016,118.61,Accommodation
Grace Brown,Southampton,11/08/2016,120.26,Public transport
Grace Brown,Southampton,20/08/2016,32.32,Stationery
Grace Brown,Southampton,23/08/2016,32.74,Postage
Grace Brown,Southampton,03/09/2016,483.35,Travel
Grace Brown,Southampton,04/09/2016,98.37,Stationery
Grace Brown,Southampton,11/09/2016,91.7,Public transport
Grace Brown,Southampton,16/09/2016,201.4,Public transport
Grace Brown,Southampton,18/09/2016,128.07,Meals
