Name,Branch,Date,Amount,Category
Jayden Mason,Leeds,08/07/2016,134.29,Office equipment
Jayden Mason,Leeds,15/07/2016,81.97,Bank charges
Jayden Mason,Leeds,14/08/2016,53.66,Postage
Jayden Mason,Leeds,14/08/2016,44.48,Bank charges
Jayden Mason,Leeds,19/08/2016,217.16,Miscellaneous
Jayden Mason,Leeds,03/09/2016,7.99,Phone
Jayden Mason,Leeds,16/09/2016,259.12,Miscellaneous
Jayden Mason,Leeds,21/09/2016,72.35,Vehicle mileage
Jayden Mason,Leeds,26/09/2016,69.45,Phone
Jayden Mason,Leeds,27/09/2016,148.05,Vehicle maintenance
