Name,Branch,Date,Amount,Category
Leon Watson,Glasgow,19/07/2016,12.02,Online expenses
Leon Watson,Glasgow,21/07/2016,45.68,Postage
Leon Watson,Glasgow,03/08/2016,542.37,Miscellaneous
Leon Watson,Glasgow,09/08/2016,118.63,Meals
Leon Watson,Glasgow,19/08/2016,77.17,Vehicle mileage
Leon Watson,Glasgow,22/08/2016,177.72,Entertaining
Leon Watson,Glasgow,11/09/2016,47.76,Phone
Leon Watson,Glasgow,15/09/2016,82.24,Research
Leon Watson,Glasgow,15/09/2016,238.73,Miscellaneous
Leon Watson,Glasgow,28/09/2016,147.68,Phone
