Name,Branch,Date,Amount,Category
Lucy Thompson,Glasgow,14/07/2016,543.51,Accommodation
Lucy Thompson,Glasgow,14/07/2016,118.6,Meals
Lucy Thompson,Glasgow,18/07/2016,141.17,Office equipment
Lucy Thompson,Glasgow,26/07/2016,32.52,Office equipment
Lucy Thompson,Glasgow,01/08/2016,523.7,Travel
Lucy Thompson,Glasgow,11/08/2016,22.64,Phone
Lucy Thompson,Glasgow,23/08/2016,271.1,Entertaining
Lucy Thompson,Glasgow,27/08/2016,78.46,Meals
Lucy Thompson,Glasgow,28/08/2016,109.9,Bank charges
Lucy Thompson,Glasgow,03/09/2016,355.87,Entertaining
Lucy Thompson,Glasgow,12/09/2016,60.41,Vehicle mileage
Lucy Thompson,Glasgow,14/09/2016,54.57,Phone
Lucy Thompson,Glasgow,19/09/2016,4.02,Vehicle mileage
