Name,Branch,Date,Amount,Category
Owen Smith,Liverpool,11/07/2016,101.81,Stationery
Owen Smith,Liverpool,26/07/2016,469.48,Vehicle fuel
Owen Smith,Liverpool,01/08/2016,282.93,Entertaining
Owen Smith,Liverpool,04/08/2016,64.95,Vehicle mileage
Owen Smith,Liverpool,21/08/2016,226.54,Public transport
Owen Smith,Liverpool,29/08/2016,142.66,Vehicle fuel
Owen Smith,Liverpool,08/09/2016,307.15,Computer equipment
Owen Smith,Liverpool,09/09/2016,19.79,Miscellaneous
Owen Smith,Liverpool,17/09/2016,12.87,Entertaining
Owen Smith,Liverpool,18/09/2016,59.09,Public transport
