Name,Branch,Date,Amount,Category
Alexander Hart,Liverpool,16/07/2016,53.16,Postage
Alexander Hart,Liverpool,17/07/2016,106.51,Vehicle mileage
Alexander Hart,Liverpool,02/08/2016,235.97,Public transport
Alexander Hart,Liverpool,16/08/2016,110.04,Bank charges
Alexander Hart,Liverpool,21/08/2016,142.93,Public transport
Alexander Hart,Liverpool,22/08/2016,85.58,Miscellaneous
Alexander Hart,Liverpool,08/09/2016,163.63,Vehicle fuel
Alexander Hart,Liverpool,15/09/2016,52.09,Phone
Alexander Hart,Liverpool,19/09/2016,122.7,Stationery
Alexander Hart,Liverpool,29/09/2016,119.3,Miscellaneous
