Name,Branch,Date,Amount,Category
Alexandra Morris,London,06/08/2016,6.14,Miscellaneous
Alexandra Morris,London,08/08/2016,383.51,Accommodation
Alexandra Morris,London,10/08/2016,308.64,Public transport
Alexandra Morris,London,15/08/2016,61.2,Stationery
Alexandra Morris,London,18/08/2016,479.01,Entertaining
Alexandra Morris,London,01/09/2016,373.38,Vehicle fuel
Alexandra Morris,London,15/09/2016,207.47,Entertaining
Alexandra Morris,London,17/09/2016,5.83,Online expenses
Alexandra Morris,London,20/09/2016,85.03,Online expenses
Alexandra Morris,London,24/09/2016,214.19,Computer equipment
