Name,Branch,Date,Amount,Category
Amelia Grant,Leeds,10/07/2016,126.15,Vehicle fuel
Amelia Grant,Leeds,24/07/2016,137.68,Online expenses
Amelia Grant,Leeds,28/07/2016,64.12,Vehicle mileage
Amelia Grant,Leeds,02/08/2016,301.01,Miscellaneous
Amelia Grant,Leeds,02/08/2016,27.37,Research
Amelia Grant,Leeds,05/08/2016,113.72,Entertaining
Amelia Grant,Leeds,10/08/2016,456.34,Travel
Amelia Grant,Leeds,25/08/2016,350.7,Miscellaneous
Amelia Grant,Leeds,17/09/2016,136.28,Postage
Amelia Grant,Leeds,22/09/2016,43.84,Vehicle maintenance
