Name,Branch,Date,Amount,Category
Andrew Davies,Manchester,09/07/2016,329.72,Travel
Andrew Davies,Manchester,16/07/2016,149.01,Research
Andrew Davies,Manchester,23/07/2016,141.88,Meals
Andrew Davies,Manchester,25/07/2016,34.1,Accommodation
Andrew Davies,Manchester,07/08/2016,146.35,Office equipment
Andrew Davies,Manchester,05/09/2016,92.94,Office equipment
Andrew Davies,Manchester,14/09/2016,136.08,Computer equipment
Andrew Davies,Manchester,18/09/2016,130.98,Research
Andrew Davies,Manchester,23/09/2016,106.03,Travel
Andrew Davies,Manchester,26/09/2016,133.9,Vehicle mileage
