Name,Branch,Date,Amount,Category
Archie Owen,London,19/07/2016,150.09,Postage
Archie Owen,London,11/08/2016,173.31,Accommodation
Archie Owen,London,15/08/2016,124.43,Vehicle maintenance
Archie Owen,London,18/08/2016,144.18,Stationery
Archie Owen,London,02/09/2016,111.52,Bank charges
Archie Owen,London,03/09/2016,62.92,Phone
Archie Owen,London,03/09/2016,481.26,Computer equipment
Archie Owen,London,04/09/2016,467.17,Computer equipment
Archie Owen,London,14/09/2016,287.27,Public transport
Archie Owen,London,25/09/2016,507.07,Miscellaneous
Archie Owen,London,27/09/2016,536.9,Travel
Archie Owen,London,27/09/2016,5.08,Research
Archie Owen,London,28/09/2016,277.4,Vehicle fuel
Archie Owen,London,29/09/2016,39.71,Entertaining
