Name,Branch,Date,Amount,Category
Ben Khan,Glasgow,16/07/2016,40.93,Vehicle mileage
Ben Khan,Glasgow,25/07/2016,44.82,Office equipment
Ben Khan,Glasgow,29/07/2016,66.24,Online expenses
Ben Khan,Glasgow,01/08/2016,141.82,Stationery
Ben Khan,Glasgow,03/08/2016,102.7,Accommodation
Ben Khan,Glasgow,10/08/2016,133.05,Vehicle maintenance
Ben Khan,Glasgow,13/08/2016,31.32,Office equipment
Ben Khan,Glasgow,14/08/2016,172.59,Travel
Ben Khan,Glasgow,17/08/2016,132.7,Phone
Ben Khan,Glasgow,27/08/2016,124.28,Office equipment
Ben Khan,Glasgow,21/09/2016,230.4,Entertaining
Ben Khan,Glasgow,27/09/2016,138.36,Phone
