Name,Branch,Date,Amount,Category
Benjamin Ali,Manchester,05/07/2016,58.91,Vehicle maintenance
Benjamin Ali,Manchester,10/07/2016,454.03,Travel
Benjamin Ali,Manchester,11/07/2016,138.4,Vehicle maintenance
Benjamin Ali,Manchester,24/07/2016,464.78,Vehicle fuel
Benjamin Ali,Manchester,09/08/2016,24.31,Vehicle maintenance
Benjamin Ali,Manchester,28/08/2016,100.83,Vehicle mileage
Benjamin Ali,Manchester,01/09/2016,235.63,Computer equipment
Benjamin Ali,Manchester,03/09/2016,295,Miscellaneous
Benjamin Ali,Manchester,11/09/2016,44.15,Vehicle maintenance
Benjamin Ali,Manchester,27/09/2016,5.05,Postage
