Name,Branch,Date,Amount,Category
Brandon Hamilton,Leeds,18/07/2016,77.25,Vehicle maintenance
Brandon Hamilton,Leeds,19/07/2016,293.33,Public transport
Brandon Hamilton,Leeds,29/07/2016,126.44,Research
Brandon Hamilton,Leeds,14/08/2016,148.61,Research
Brandon Hamilton,Leeds,15/08/2016,96.58,Research
Brandon Hamilton,Leeds,25/08/2016,12.47,Postage
Brandon Hamilton,Leeds,18/09/2016,497.87,Entertaining
Brandon Hamilton,Leeds,21/09/2016,98.79,Stationery
Brandon Hamilton,Leeds,22/09/2016,209.85,Computer equipment
Brandon Hamilton,Leeds,24/09/2016,370.39,Entertaining
