Name,Branch,Date,Amount,Category
Callum Jenkins,Belfast,20/07/2016,550.07,Computer equipment
Callum Jenkins,Belfast,01/08/2016,29.1,Phone
Callum Jenkins,Belfast,08/08/2016,314.97,Computer equipment
Callum Jenkins,Belfast,10/08/2016,115.79,Office equipment
Callum Jenkins,Belfast,18/08/2016,34.41,Accommodation
Callum Jenkins,Belfast,22/08/2016,22.14,Office equipment
Callum Jenkins,Belfast,08/09/2016,88.89,Vehicle maintenance
Callum Jenkins,Belfast,08/09/2016,387.03,Travel
Callum Jenkins,Belfast,13/09/2016,120.75,Bank charges
Callum Jenkins,Belfast,24/09/2016,151.23,Bank charges
Callum Jenkins,Belfast,25/09/2016,84.65,Stationery
