Name,Branch,Date,Amount,Category
Demi Kelly,Glasgow,14/07/2016,186.54,Accommodation
Demi Kelly,Glasgow,04/08/2016,15.73,Vehicle mileage
Demi Kelly,Glasgow,12/08/2016,214.45,Miscellaneous
Demi Kelly,Glasgow,19/08/2016,44.29,Online expenses
Demi Kelly,Glasgow,20/08/2016,316.38,Entertaining
Demi Kelly,Glasgow,23/08/2016,144.67,Meals
Demi Kelly,Glasgow,31/08/2016,336.02,Accommodation
Demi Kelly,Glasgow,05/09/2016,543.33,Travel
Demi Kelly,Glasgow,11/09/2016,98.98,Bank charges
Demi Kelly,Glasgow,11/09/2016,345.85,Accommodation
Demi Kelly,Glasgow,14/09/2016,126.35,Vehicle maintenance
Demi Kelly,Glasgow,16/09/2016,112.81,Stationery
Demi Kelly,Glasgow,25/09/2016,15.08,Stationery
