Name,Branch,Date,Amount,Category
Ella Taylor,Liverpool,03/07/2016,120.72,Bank charges
Ella Taylor,Liverpool,11/07/2016,260.2,Miscellaneous
Ella Taylor,Liverpool,18/07/2016,370.79,Travel
Ella Taylor,Liverpool,19/07/2016,36.02,Travel
Ella Taylor,Liverpool,22/07/2016,54.48,Vehicle maintenance
Ella Taylor,Liverpool,04/08/2016,152.43,Miscellaneous
Ella Taylor,Liverpool,09/08/2016,102.71,Research
Ella Taylor,Liverpool,17/08/2016,95.16,Bank charges
Ella Taylor,Liverpool,27/08/2016,247.5,Computer equipment
Ella Taylor,Liverpool,02/09/2016,453.9,Vehicle fuel
Ella Taylor,Liverpool,08/09/2016,134.77,Stationery
Ella Taylor,Liverpool,16/09/2016,130.18,Online expenses
Ella Taylor,Liverpool,19/09/2016,165.39,Travel
Ella Taylor,Liverpool,25/09/2016,54.62,Computer equipment
Ella Taylor,Liverpool,27/09/2016,68.4,Vehicle maintenance
