Name,Branch,Date,Amount,Category
Elliot Watson,Liverpool,07/07/2016,335.63,Travel
Elliot Watson,Liverpool,14/07/2016,145.51,Phone
Elliot Watson,Liverpool,15/07/2016,93.81,Online expenses
Elliot Watson,Liverpool,25/07/2016,129.36,Office equipment
Elliot Watson,Liverpool,26/07/2016,299.47,Public transport
Elliot Watson,Liverpool,27/07/2016,96.81,Postage
Elliot Watson,Liverpool,30/07/2016,480.2,Public transport
Elliot Watson,Liverpool,05/08/2016,481.07,Travel
Elliot Watson,Liverpool,07/08/2016,74.4,Stationery
Elliot Watson,Liverpool,25/08/2016,277.34,Travel
Elliot Watson,Liverpool,28/09/2016,95.92,Vehicle mileage
