Name,Branch,Date,Amount,Category
Ellis Stewart,Birmingham,06/07/2016,400.58,Computer equipment
Ellis Stewart,Birmingham,07/07/2016,105.89,Office equipment
Ellis Stewart,Birmingham,11/07/2016,100.69,Meals
Ellis Stewart,Birmingham,25/07/2016,384.93,Entertaining
Ellis Stewart,Birmingham,30/07/2016,525.42,Accommodation
Ellis Stewart,Birmingham,04/08/2016,286.92,Miscellaneous
Ellis Stewart,Birmingham,11/08/2016,550.42,Computer equipment
Ellis Stewart,Birmingham,13/08/2016,105.81,Office equipment
Ellis Stewart,Birmingham,19/08/2016,128.89,Research
Ellis Stewart,Birmingham,20/08/2016,15.19,Vehicle fuel
Ellis Stewart,Birmingham,07/09/2016,174.32,Accommodation
Ellis Stewart,Birmingham,29/09/2016,24.1,Postage
