Name,Branch,Date,Amount,Category
Frederick White,Cardiff,03/07/2016,147.97,Office equipment
Frederick White,Cardiff,08/07/2016,8.61,Office equipment
Frederick White,Cardiff,16/07/2016,135.27,Vehicle mileage
Frederick White,Cardiff,21/07/2016,301.71,Vehicle fuel
Frederick White,Cardiff,29/07/2016,306.81,Public transport
Frederick White,Cardiff,01/08/2016,59.88,Miscellaneous
Frederick White,Cardiff,01/08/2016,166.37,Vehicle fuel
Frederick White,Cardiff,02/08/2016,349.03,Miscellaneous
Frederick White,Cardiff,20/08/2016,62.4,Phone
Frederick White,Cardiff,22/08/2016,43.72,Entertaining
Frederick White,Cardiff,26/08/2016,59.47,Bank charges
Frederick White,Cardiff,30/08/2016,541.79,Vehicle fuel
Frederick White,Cardiff,10/09/2016,338.18,Miscellaneous
Frederick White,Cardiff,11/09/2016,88.36,Miscellaneous
Frederick White,Cardiff,12/09/2016,139.91,Vehicle maintenance
