Name,Branch,Date,Amount,Category
Harriet Thomas,Southampton,24/07/2016,337.94,Miscellaneous
Harriet Thomas,Southampton,26/07/2016,136.02,Vehicle maintenance
Harriet Thomas,Southampton,29/07/2016,217.56,Accommodation
Harriet Thomas,Southampton,01/08/2016,1.62,Office equipment
Harriet Thomas,Southampton,23/08/2016,38.72,Phone
Harriet Thomas,Southampton,27/08/2016,30.74,Online expenses
Harriet Thomas,Southampton,01/09/2016,283.02,Accommodation
Harriet Thomas,Southampton,05/09/2016,4.36,Postage
Harriet Thomas,Southampton,07/09/2016,81.89,Bank charges
Harriet Thomas,Southampton,09/09/2016,23.89,Research
Harriet Thomas,Southampton,24/09/2016,290.55,Travel
Harriet Thomas,Southampton,27/09/2016,254.54,Entertaining
Harriet Thomas,Southampton,29/09/2016,48.1,Meals
Harriet Thomas,Southampton,30/09/2016,244.38,Computer equipment
