Name,Branch,Date,Amount,Category
Harry Hall,London,12/07/2016,149.75,Vehicle maintenance
Harry Hall,London,12/07/2016,143.01,Travel
Harry Hall,London,22/07/2016,398.7,Travel
Harry Hall,London,24/07/2016,489.15,Computer equipment
Harry Hall,London,07/08/2016,152.33,Miscellaneous
Harry Hall,London,07/08/2016,146.19,Vehicle maintenance
Harry Hall,London,14/08/2016,52.86,Bank charges
Harry Hall,London,17/08/2016,45.5,Phone
Harry Hall,London,28/08/2016,489.7,Entertaining
Harry Hall,London,30/08/2016,312.69,Travel
Harry Hall,London,06/09/2016,131.43,Vehicle maintenance
Harry Hall,London,07/09/2016,27.34,Bank charges
Harry Hall,London,21/09/2016,9.72,Vehicle mileage
Harry Hall,London,25/09/2016,110.53,Bank charges
Harry Hall,London,30/09/2016,140.29,Travel
