Name,Branch,Date,Amount,Category
Jack Jones,Manchester,24/07/2016,181.51,Travel
Jack Jones,Manchester,04/08/2016,137.39,Stationery
Jack Jones,Manchester,10/08/2016,136.32,Stationery
Jack Jones,Manchester,12/08/2016,17.92,Miscellaneous
Jack Jones,Manchester,20/08/2016,129.46,Research
Jack Jones,Manchester,22/08/2016,360.59,Travel
Jack Jones,Manchester,30/08/2016,435.82,Travel
Jack Jones,Manchester,30/08/2016,91.68,Research
Jack Jones,Manchester,30/08/2016,131.61,Vehicle fuel
Jack Jones,Manchester,01/09/2016,141.02,Stationery
Jack Jones,Manchester,18/09/2016,147.18,Entertaining
