Name,Branch,Date,Amount,Category
Jacob Barker,Liverpool,21/07/2016,188.39,Travel
Jacob Barker,Liverpool,16/08/2016,137.35,Stationery
Jacob Barker,Liverpool,18/08/2016,83.42,Postage
Jacob Barker,Liverpool,21/08/2016,415.92,Public transport
Jacob Barker,Liverpool,26/08/2016,11.88,Meals
Jacob Barker,Liverpool,05/09/2016,180.23,Vehicle fuel
Jacob Barker,Liverpool,09/09/2016,195.67,Public transport
Jacob Barker,Liverpool,18/09/2016,173.22,Travel
Jacob Barker,Liverpool,22/09/2016,302.75,Travel
Jacob Barker,Liverpool,25/09/2016,63.39,Research
