Name,Branch,Date,Amount,Category
Joseph Butler,Glasgow,24/07/2016,9.65,Travel
Joseph Butler,Glasgow,13/08/2016,62.53,Vehicle maintenance
Joseph Butler,Glasgow,17/08/2016,65.51,Office equipment
Joseph Butler,Glasgow,22/08/2016,484.57,Miscellaneous
Joseph Butler,Glasgow,26/08/2016,59.46,Computer equipment
Joseph Butler,Glasgow,28/08/2016,143.23,Entertaining
Joseph Butler,Glasgow,30/08/2016,84.03,Online expenses
Joseph Butler,Glasgow,02/09/2016,70.32,Research
Joseph Butler,Glasgow,21/09/2016,208.13,Accommodation
Joseph Butler,Glasgow,22/09/2016,103.2,Online expenses
