Name,Branch,Date,Amount,Category
Joshua Carr,Manchester,18/07/2016,433.81,Entertaining
Joshua Carr,Manchester,19/07/2016,153.19,Online expenses
Joshua Carr,Manchester,23/07/2016,120.37,Vehicle fuel
Joshua Carr,Manchester,01/08/2016,109.63,Office equipment
Joshua Carr,Manchester,10/08/2016,107.75,Bank charges
Joshua Carr,Manchester,27/08/2016,247.68,Vehicle fuel
Joshua Carr,Manchester,04/09/2016,36.28,Research
Joshua Carr,Manchester,10/09/2016,125.6,Postage
Joshua Carr,Manchester,21/09/2016,108.08,Vehicle mileage
Joshua Carr,Manchester,28/09/2016,147.77,Vehicle maintenance
