Name,Branch,Date,Amount,Category
Kai Harrison,Manchester,08/07/2016,105.24,Postage
Kai Harrison,Manchester,10/07/2016,75.83,Phone
Kai Harrison,Manchester,19/07/2016,135.04,Vehicle mileage
Kai Harrison,Manchester,27/07/2016,58.37,Public transport
Kai Harrison,Manchester,15/08/2016,151.94,Stationery
Kai Harrison,Manchester,16/08/2016,95.93,Bank charges
Kai Harrison,Manchester,24/08/2016,57.01,Research
Kai Harrison,Manchester,04/09/2016,313.33,Entertaining
Kai Harrison,Manchester,13/09/2016,80.69,Postage
Kai Harrison,Manchester,15/09/2016,26.55,Phone
Kai Harrison,Manchester,19/09/2016,119.89,Vehicle maintenance
