Name,Branch,Date,Amount,Category
Lara Jackson,Birmingham,18/07/2016,524.08,Vehicle fuel
Lara Jackson,Birmingham,23/07/2016,220.36,Vehicle fuel
Lara Jackson,Birmingham,29/07/2016,150.74,Vehicle mileage
Lara Jackson,Birmingham,11/08/2016,361.02,Vehicle fuel
Lara Jackson,Birmingham,16/08/2016,9.31,Vehicle mileage
Lara Jackson,Birmingham,23/08/2016,202.56,Miscellaneous
Lara Jackson,Birmingham,03/09/2016,47.77,Postage
Lara Jackson,Birmingham,20/09/2016,353.13,Travel
Lara Jackson,Birmingham,22/09/2016,103.84,Phone
Lara Jackson,Birmingham,24/09/2016,36.98,Vehicle fuel
