Name,Branch,Date,Amount,Category
Layla Evans,Manchester,24/07/2016,113.3,Postage
Layla Evans,Manchester,27/07/2016,128.05,Public transport
Layla Evans,Manchester,28/07/2016,109.53,Research
Layla Evans,Manchester,04/08/2016,17.27,Bank charges
Layla Evans,Manchester,05/08/2016,460.26,Computer equipment
Layla Evans,Manchester,07/08/2016,38.27,Accommodation
Layla Evans,Manchester,15/08/2016,26.64,Vehicle maintenance
Layla Evans,Manchester,29/08/2016,155.98,Entertaining
Layla Evans,Manchester,15/09/2016,387.47,Computer equipment
Layla Evans,Manchester,18/09/2016,17.89,Office equipment
Layla Evans,Manchester,24/09/2016,238.97,Public transport
Layla Evans,Manchester,27/09/2016,131.81,Entertaining
