Name,Branch,Date,Amount,Category
Leo Jones,Southampton,17/07/2016,530.67,Travel
Leo Jones,Southampton,18/07/2016,12.64,Bank charges
Leo Jones,Southampton,22/07/2016,240.48,Miscellaneous
Leo Jones,Southampton,01/08/2016,207.12,Travel
Leo Jones,Southampton,04/08/2016,61.87,Online expenses
Leo Jones,Southampton,13/08/2016,437.45,Entertaining
Leo Jones,Southampton,17/08/2016,214.84,Computer equipment
Leo Jones,Southampton,20/09/2016,517.55,Accommodation
Leo Jones,Southampton,22/09/2016,505.26,Entertaining
Leo Jones,Southampton,27/09/2016,63.65,Postage
