Name,Branch,Date,Amount,Category
Maddison Lawrence,Liverpool,09/07/2016,63.89,Stationery
Maddison Lawrence,Liverpool,10/07/2016,246.12,Accommodation
Maddison Lawrence,Liverpool,14/07/2016,171.92,Miscellaneous
Maddison Lawrence,Liverpool,16/07/2016,93.85,Bank charges
Maddison Lawrence,Liverpool,27/07/2016,218.47,Entertaining
Maddison Lawrence,Liverpool,06/08/2016,198.32,Public transport
Maddison Lawrence,Liverpool,01/09/2016,94.59,Online expenses
Maddison Lawrence,Liverpool,02/09/2016,101.17,Research
Maddison Lawrence,Liverpool,10/09/2016,249.05,Travel
Maddison Lawrence,Liverpool,14/09/2016,113.82,Research
Maddison Lawrence,Liverpool,20/09/2016,340.72,Vehicle fuel
