Name,Branch,Date,Amount,Category
Mason Powell,Manchester,22/07/2016,14.57,Vehicle mileage
Mason Powell,Manchester,25/07/2016,137.26,Bank charges
Mason Powell,Manchester,25/07/2016,68.42,Vehicle mileage
Mason Powell,Manchester,26/07/2016,42.34,Phone
Mason Powell,Manchester,06/08/2016,318.92,Travel
Mason Powell,Manchester,07/08/2016,17.99,Office equipment
Mason Powell,Manchester,08/08/2016,81.55,Meals
Mason Powell,Manchester,09/08/2016,23.24,Office equipment
Mason Powell,Manchester,24/08/2016,49.63,Stationery
Mason Powell,Manchester,02/09/2016,296.6,Computer equipment
Mason Powell,Manchester,14/09/2016,16.92,Stationery
Mason Powell,Manchester,21/09/2016,146.52,Online expenses
Mason Powell,Manchester,27/09/2016,136.12,Online expenses
