Name,Branch,Date,Amount,Category
Max Gonzalez,Leeds,01/08/2016,48.81,Travel
Max Gonzalez,Leeds,04/08/2016,106.61,Entertaining
Max Gonzalez,Leeds,10/08/2016,20.05,Office equipment
Max Gonzalez,Leeds,17/08/2016,54.37,Vehicle mileage
Max Gonzalez,Leeds,20/08/2016,327.56,Computer equipment
Max Gonzalez,Leeds,24/08/2016,64.54,Vehicle maintenance
Max Gonzalez,Leeds,30/08/2016,276.64,Computer equipment
Max Gonzalez,Leeds,14/09/2016,72.62,Miscellaneous
Max Gonzalez,Leeds,18/09/2016,37.31,Online expenses
Max Gonzalez,Leeds,22/09/2016,193.93,Accommodation
Max Gonzalez,Leeds,27/09/2016,122.55,Vehicle maintenance
Max Gonzalez,Leeds,27/09/2016,485.3,Accommodation
