Name,Branch,Date,Amount,Category
Maya Wood,London,07/07/2016,34.35,Vehicle mileage
Maya Wood,London,11/07/2016,157.95,Miscellaneous
Maya Wood,London,16/07/2016,32.71,Stationery
Maya Wood,London,19/07/2016,77.19,Vehicle mileage
Maya Wood,London,08/08/2016,111.13,Postage
Maya Wood,London,15/08/2016,136.42,Travel
Maya Wood,London,24/08/2016,322.3,Travel
Maya Wood,London,26/08/2016,26.97,Vehicle maintenance
Maya Wood,London,03/09/2016,39.75,Meals
Maya Wood,London,08/09/2016,51.27,Meals
Maya Wood,London,16/09/2016,178.72,Vehicle fuel
Maya Wood,London,16/09/2016,6.04,Office equipment
