Name,Branch,Date,Amount,Category
Michael Cole,Belfast,21/07/2016,16.78,Vehicle maintenance
Michael Cole,Belfast,24/07/2016,97.18,Bank charges
Michael Cole,Belfast,27/07/2016,10.11,Vehicle fuel
Michael Cole,Belfast,05/08/2016,14.74,Meals
Michael Cole,Belfast,13/08/2016,87.81,Vehicle maintenance
Michael Cole,Belfast,20/08/2016,70.32,Phone
Michael Cole,Belfast,21/08/2016,56.41,Postage
Michael Cole,Belfast,26/08/2016,320.36,Travel
Michael Cole,Belfast,31/08/2016,118.85,Postage
Michael Cole,Belfast,06/09/2016,2.18,Meals
