Name,Branch,Date,Amount,Category
Mohammed Stevens,London,16/07/2016,110.1,Online expenses
Mohammed Stevens,London,17/07/2016,336.3,Miscellaneous
Mohammed Stevens,London,18/07/2016,32.99,Vehicle mileage
Mohammed Stevens,London,22/07/2016,88.85,Vehicle maintenance
Mohammed Stevens,London,07/08/2016,327.03,Computer equipment
Mohammed Stevens,London,10/08/2016,493.68,Vehicle fuel
Mohammed Stevens,London,16/08/2016,520.7,Miscellaneous
Mohammed Stevens,London,30/08/2016,89.7,Postage
Mohammed Stevens,London,02/09/2016,131.01,Accommodation
Mohammed Stevens,London,04/09/2016,51.53,Phone
Mohammed Stevens,London,11/09/2016,114.63,Stationery
Mohammed Stevens,London,19/09/2016,24.31,Research
