Name,Branch,Date,Amount,Category
Natasha Edwards,Cardiff,07/07/2016,149.6,Stationery
Natasha Edwards,Cardiff,22/07/2016,37.2,Vehicle mileage
Natasha Edwards,Cardiff,29/07/2016,492.13,Accommodation
Natasha Edwards,Cardiff,03/08/2016,133.12,Office equipment
Natasha Edwards,Cardiff,04/08/2016,544.39,Vehicle fuel
Natasha Edwards,Cardiff,06/08/2016,48.56,Stationery
Natasha Edwards,Cardiff,10/08/2016,79.16,Stationery
Natasha Edwards,Cardiff,16/08/2016,16.34,Stationery
Natasha Edwards,Cardiff,18/09/2016,104.08,Vehicle maintenance
Natasha Edwards,Cardiff,28/09/2016,74.37,Bank charges
