Name,Branch,Date,Amount,Category
Patrick Anderson,Dumfries,30/07/2016,336.65,Vehicle fuel
Patrick Anderson,Dumfries,03/08/2016,236.54,Travel
Patrick Anderson,Dumfries,09/08/2016,123.17,Meals
Patrick Anderson,Dumfries,15/08/2016,304.88,Public transport
Patrick Anderson,Dumfries,19/08/2016,455.31,Accommodation
Patrick Anderson,Dumfries,23/08/2016,146.79,Meals
Patrick Anderson,Dumfries,28/08/2016,92,Phone
Patrick Anderson,Dumfries,02/09/2016,510.18,Public transport
Patrick Anderson,Dumfries,06/09/2016,337.67,Public transport
Patrick Anderson,Dumfries,16/09/2016,294.95,Travel
Patrick Anderson,Dumfries,23/09/2016,133.04,Vehicle fuel
