Name,Branch,Date,Amount,Category
Thomas Davies,Birmingham,06/07/2016,19.61,Miscellaneous
Thomas Davies,Birmingham,07/07/2016,121.2,Stationery
Thomas Davies,Birmingham,14/07/2016,68.85,Vehicle fuel
Thomas Davies,Birmingham,15/07/2016,342.66,Travel
Thomas Davies,Birmingham,23/07/2016,84.61,Vehicle mileage
Thomas Davies,Birmingham,31/07/2016,76.26,Research
Thomas Davies,Birmingham,31/07/2016,74.92,Vehicle mileage
Thomas Davies,Birmingham,01/08/2016,531.66,Public transport
Thomas Davies,Birmingham,02/08/2016,98.79,Phone
Thomas Davies,Birmingham,03/08/2016,105.63,Phone
Thomas Davies,Birmingham,09/08/2016,154.56,Bank charges
Thomas Davies,Birmingham,17/08/2016,170.98,Miscellaneous
Thomas Davies,Birmingham,26/08/2016,65.11,Vehicle maintenance
Thomas Davies,Birmingham,08/09/2016,11.53,Vehicle maintenance
Thomas Davies,Birmingham,24/09/2016,159.16,Miscellaneous
