Name,Branch,Date,Amount,Category
Tyler Andrews,Manchester,15/07/2016,159.09,Vehicle fuel
Tyler Andrews,Manchester,20/07/2016,344.94,Public transport
Tyler Andrews,Manchester,25/07/2016,86.34,Vehicle maintenance
Tyler Andrews,Manchester,27/07/2016,26.92,Research
Tyler Andrews,Manchester,06/08/2016,154.34,Public transport
Tyler Andrews,Manchester,19/08/2016,75.93,Public transport
Tyler Andrews,Manchester,02/09/2016,497.21,Entertaining
Tyler Andrews,Manchester,03/09/2016,10.82,Meals
Tyler Andrews,Manchester,11/09/2016,13.4,Research
Tyler Andrews,Manchester,15/09/2016,554.35,Accommodation
Tyler Andrews,Manchester,18/09/2016,111.03,Accommodation
Tyler Andrews,Manchester,24/09/2016,69.75,Office equipment
