Name,Branch,Date,Amount,Category
Chloe Smith,Glasgow,23/07/2016,45.09,Online expenses
Chloe Smith,Glasgow,26/07/2016,82.51,Phone
Chloe Smith,Glasgow,12/08/2016,91.66,Bank charges
Chloe Smith,Glasgow,14/08/2016,94.39,Public transport
Chloe Smith,Glasgow,23/08/2016,24.98,Meals
Chloe Smith,Glasgow,28/08/2016,454.6,Accommodation
Chloe Smith,Glasgow,01/09/2016,139.43,Online expenses
Chloe Smith,Glasgow,03/09/2016,145.94,Phone
Chloe Smith,Glasgow,05/09/2016,150.59,Research
Chloe Smith,Glasgow,11/09/2016,255.52,Entertaining
Chloe Smith,Glasgow,12/09/2016,2.02,Phone
Chloe Smith,Glasgow,14/09/2016,164.98,Travel
Chloe Smith,Glasgow,18/09/2016,286.51,Travel
Chloe Smith,Glasgow,20/09/2016,43.46,Vehicle maintenance
