Name,Branch,Date,Amount,Category
Harvey Thomson,Southampton,14/07/2016,280.52,Public transport
Harvey Thomson,Southampton,28/07/2016,101.84,Bank charges
Harvey Thomson,Southampton,10/08/2016,22.12,Research
Harvey Thomson,Southampton,14/08/2016,39.34,Postage
Harvey Thomson,Southampton,23/08/2016,78.15,Phone
Harvey Thomson,Southampton,26/08/2016,45.1,Vehicle maintenance
Harvey Thomson,Southampton,26/08/2016,126.61,Research
Harvey Thomson,Southampton,27/08/2016,28.06,Postage
Harvey Thomson,Southampton,30/08/2016,43.59,Public transport
Harvey Thomson,Southampton,31/08/2016,82.43,Vehicle maintenance
Harvey Thomson,Southampton,02/09/2016,22.16,Online expenses
Harvey Thomson,Southampton,08/09/2016,168.17,Travel
