Name,Branch,Date,Amount,Category
Morgan Cook,Belfast,26/07/2016,60.28,Stationery
Morgan Cook,Belfast,03/08/2016,108.9,Bank charges
Morgan Cook,Belfast,07/08/2016,87.05,Stationery
Morgan Cook,Belfast,08/08/2016,423.54,Travel
Morgan Cook,Belfast,08/08/2016,106.4,Phone
Morgan Cook,Belfast,20/08/2016,122.12,Public transport
Morgan Cook,Belfast,25/08/2016,162.38,Accommodation
Morgan Cook,Belfast,31/08/2016,475.52,Travel
Morgan Cook,Belfast,20/09/2016,252.98,Public transport
Morgan Cook,Belfast,26/09/2016,2.28,Phone
