Name,Branch,Date,Amount,Category
Sally Andrews,Wrexham,06/07/2016,492.18,Vehicle fuel
Sally Andrews,Wrexham,11/07/2016,546.96,Computer equipment
Sally Andrews,Wrexham,16/07/2016,62.71,Postage
Sally Andrews,Wrexham,24/07/2016,34.84,Miscellaneous
Sally Andrews,Wrexham,25/07/2016,297.85,Miscellaneous
Sally Andrews,Wrexham,29/07/2016,436.05,Miscellaneous
Sally Andrews,Wrexham,16/08/2016,65.39,Postage
Sally Andrews,Wrexham,17/08/2016,92.14,Stationery
Sally Andrews,Wrexham,23/08/2016,15.99,Phone
Sally Andrews,Wrexham,05/09/2016,156.75,Vehicle fuel
Sally Andrews,Wrexham,17/09/2016,199,Accommodation
Sally Andrews,Wrexham,22/09/2016,128.05,Office equipment
Sally Andrews,Wrexham,25/09/2016,106.11,Online expenses
