Name,Branch,Date,Amount,Category
Tyler Turner,Birmingham,08/07/2016,419.28,Vehicle fuel
Tyler Turner,Birmingham,22/07/2016,50.89,Phone
Tyler Turner,Birmingham,14/08/2016,80.46,Vehicle mileage
Tyler Turner,Birmingham,16/08/2016,409.85,Accommodation
Tyler Turner,Birmingham,21/08/2016,101.49,Online expenses
Tyler Turner,Birmingham,31/08/2016,111.94,Meals
Tyler Turner,Birmingham,02/09/2016,382.97,Computer equipment
Tyler Turner,Birmingham,02/09/2016,2.28,Vehicle fuel
Tyler Turner,Birmingham,11/09/2016,26.34,Office equipment
Tyler Turner,Birmingham,12/09/2016,241.79,Public transport
