Name,Branch,Date,Amount,Category
Zara Harper,Cardiff,10/07/2016,483.28,Accommodation
Zara Harper,Cardiff,11/07/2016,60.04,Vehicle mileage
Zara Harper,Cardiff,16/07/2016,118.82,Bank charges
Zara Harper,Cardiff,16/07/2016,204.73,Public transport
Zara Harper,Cardiff,26/07/2016,141.95,Research
Zara Harper,Cardiff,05/08/2016,131.88,Postage
Zara Harper,Cardiff,07/08/2016,281.84,Public transport
Zara Harper,Cardiff,14/08/2016,355.31,Travel
Zara Harper,Cardiff,03/09/2016,111.01,Travel
Zara Harper,Cardiff,08/09/2016,71.9,Computer equipment
